id,nome,email,telefone,cep,data_nascimento,genero
1001,Ana Silva,ana.silva@exemplo.com.br,(11) 98765-4321,01311-000,1990-05-15,Feminino
1002,Bruno Costa,bruno.costa@exemplo.com.br,(21) 91234-5678,20040-001,1985-11-20,Masculino
1003,Carla Dias,carla.dias@exemplo.com,(31) 99876-1234,30110-005,1992-02-10,Feminino
1004,Daniel Moreira,daniel.moreira@exemplo.com.br,(71) 98888-4444,40015-010,2000-07-30,Masculino
1005,Elisa Fernandes,elisa.fernandes@exemplo.com,(51) 99999-5555,90010-150,1998-09-05,Feminino
1006,Fábio Guedes,fabio.guedes@exemplo.com.br,(81) 98765-9876,50030-230,1982-12-01,Masculino
1007,Gabriela Lima,gabriela.lima@exemplo.com,(61) 99654-3210,70070-010,1995-03-22,Feminino
1008,Hugo Martins,hugo.martins@exemplo.com.br,(41) 99111-2222,80010-010,1991-08-14,Masculino
1009,Isabela Rocha,isabela.rocha@exemplo.com,(11) 98877-6655,04538-133,2002-01-18,Feminino
1010,João Pereira,joao.pereira@exemplo.com.br,(21) 98765-4322,22041-011,1988-06-25,Masculino
1011,Larissa Almeida,larissa.almeida@exemplo.com,(31) 99876-5432,30130-141,1993-10-12,Feminino
1012,Marcos Vinicius,marcos.vinicius@exemplo.com.br,(71) 98888-1234,40110-150,1999-04-03,Masculino
1013,Natalia Oliveira,natalia.oliveira@exemplo.com,(51) 99999-8888,90035-090,1987-07-07,Feminino
1014,Otávio Mendes,otavio.mendes@exemplo.com.br,(81) 98765-4321,52011-240,1980-11-11,Masculino
1015,Paula Azevedo,paula.azevedo@exemplo.com,(61) 99654-7890,70150-900,1996-09-20,Feminino
1016,Rafael Barbosa,rafael.barbosa@exemplo.com.br,(41) 99111-3333,80020-320,1994-12-30,Masculino
1017,Sofia Carvalho,sofia.carvalho@exemplo.com,(11) 98877-1122,01415-001,2001-02-28,Feminino
1018,Thiago Nunes,thiago.nunes@exemplo.com.br,(21) 98765-5678,22050-001,1983-05-19,Masculino
1019,Ursula Castro,ursula.castro@exemplo.com,(31) 99876-9876,30140-071,1990-08-08,Feminino
1020,Victor Santos,victor.santos@exemplo.com.br,(71) 98888-2345,40140-110,1997-01-04,Masculino
1021,Yasmin Ferreira,yasmin.ferreira@exemplo.com,(51) 99999-4444,90110-180,1992-06-13,Feminino
1022,Zeca Ribeiro,zeca.ribeiro@exemplo.com.br,(81) 98765-8765,51020-000,1986-03-29,Masculino
1023,Alice Gomes,alice.gomes@exemplo.com,(61) 99654-3211,70200-001,1998-10-02,Feminino
1024,Bernardo Souza,bernardo.souza@exemplo.com.br,(41) 99111-4444,80035-030,1995-07-17,Masculino
1025,Clara Batista,clara.batista@exemplo.com,(11) 98877-3344,05401-300,1991-11-09,Feminino
1026,Davi Araujo,davi.araujo@exemplo.com.br,(21) 98765-1122,22071-000,1984-04-16,Masculino
1027,Esther Pinto,esther.pinto@exemplo.com,(31) 99876-8765,30150-311,1993-01-24,Feminino
1028,Felipe Matos,felipe.matos@exemplo.com.br,(71) 98888-3456,40210-630,2003-09-13,Masculino
1029,Fernanda Cunha,fernanda.cunha@exemplo.com,(51) 99999-7777,90230-090,1989-12-07,Feminino
1030,Guilherme Barros,guilherme.barros@exemplo.com.br,(81) 98765-7654,52050-030,1981-06-02,Masculino
1031,Helena Farias,helena.farias@exemplo.com,(61) 99654-2109,70233-040,1997-08-27,Feminino
1032,Igor Andrade,igor.andrade@exemplo.com.br,(41) 99111-5555,80045-150,1992-10-31,Masculino
1033,Julia Drummond,julia.drummond@exemplo.com,(11) 98877-4455,01419-001,2000-05-01,Feminino
1034,Kaue Lopes,kaue.lopes@exemplo.com.br,(21) 98765-2233,22080-010,1996-02-14,Masculino
1035,Livia Duarte,livia.duarte@exemplo.com,(31) 99876-7654,30170-001,1994-07-23,Feminino
1036,Lucas Cavalcanti,lucas.cavalcanti@exemplo.com.br,(71) 98888-4567,40301-155,1987-11-26,Masculino
1037,Manuela Siqueira,manuela.siqueira@exemplo.com,(51) 99999-6666,90430-000,1999-03-08,Feminino
1038,Nicolas Freire,nicolas.freire@exemplo.com.br,(81) 98765-6543,51030-010,1985-09-03,Masculino
1039,Olivia Dantas,olivia.dantas@exemplo.com,(61) 99654-1098,70255-070,1993-12-19,Feminino
1040,Pedro Nogueira,pedro.nogueira@exemplo.com.br,(41) 99111-6666,80210-060,1990-04-29,Masculino
